,Inference Time,Frame Counter,Skipped FC,Angle Move,Angle Data 1,Angle Data 2,Total Time,Meso x,Meso y,Tailbase x,Tailbase y,Commutation
0,0.023000001907348633,1.0,0.0,0.0,0.0,0.0,0.023000001907348633,809.5588989257812,389.5719909667969,881.4325561523438,296.2486877441406,0.0
1,0.13332152366638184,2.0,0.0,95.0,0.0,95.30737645502482,0.245011568069458,1029.4307861328125,478.8540954589844,913.4581909179688,405.5546569824219,1.0
2,0.19402265548706055,3.0,0.0,0.0,12.564884002018353,107.87226045704318,0.4400351047515869,1025.920654296875,451.72723388671875,915.24609375,412.0352783203125,0.0
3,0.20798373222351074,4.0,0.0,0.0,26.289174722869785,121.59655117789461,0.6490166187286377,1023.0337524414062,425.32940673828125,906.6156616210938,413.082275390625,0.0
4,0.20801997184753418,5.0,0.0,0.0,41.64228095184842,136.94965740687326,0.8600366115570068,1027.6939697265625,407.5703430175781,918.1068725585938,425.609619140625,0.0
5,0.20511984825134277,6.0,0.0,0.0,43.96660274161563,139.27397919664045,1.0671577453613281,1024.466552734375,397.8021545410156,924.9843139648438,418.3532409667969,0.0
6,0.20593023300170898,7.0,0.0,0.0,48.15699918003488,143.4643756350597,1.2750859260559082,1013.885498046875,399.586669921875,915.2229614257812,427.6214904785156,0.0
7,0.20644068717956543,8.0,0.0,0.0,48.92113654721679,144.2285130022416,1.484527587890625,981.7539672851562,418.2417297363281,908.7066040039062,440.0549011230469,0.0
8,0.20556068420410156,9.0,0.0,0.0,74.79479964062956,170.1021760956544,1.6920862197875977,969.5942993164062,394.14166259765625,918.8031616210938,440.6834411621094,0.0
9,0.2041463851928711,10.0,0.0,103.0,0.0,198.67928581599665,1.9092369079589844,973.792236328125,344.5814514160156,944.15380859375,431.0363464355469,1.0
10,0.19485092163085938,11.0,0.0,0.0,6.028895070381558,204.70818088637822,2.1071019172668457,976.4579467773438,333.7525329589844,957.4307250976562,416.8708801269531,0.0
11,0.2050034999847412,12.0,0.0,184.0,0.0,383.4105752384522,2.3251280784606934,988.3514404296875,328.0209045410156,1008.18896484375,249.5743865966797,1.0
12,0.19497179985046387,13.0,0.0,162.0,0.0,545.8920774042406,2.5331172943115234,1009.3189086914062,294.2848205566406,948.5685424804688,392.60992431640625,1.0
13,0.19498443603515625,14.0,0.0,-166.0,0.0,378.9475089622508,2.743115186691284,1000.8984375,303.8467102050781,1024.654052734375,233.47982788085938,1.0
14,0.19298386573791504,15.0,0.0,156.0,0.0,535.7723995091858,2.9501259326934814,1023.53466796875,296.97393798828125,952.3617553710938,376.4937438964844,1.0
15,0.17798829078674316,16.0,0.0,0.0,-11.087630595212126,524.6847689139737,3.131129264831543,1045.8048095703125,291.5546569824219,949.8441772460938,364.0837097167969,0.0
16,0.2059640884399414,17.0,0.0,0.0,-21.8314569428154,513.9409425663704,3.3390913009643555,1063.4205322265625,293.60784912109375,957.3362426757812,346.1277160644531,0.0
17,0.20600628852844238,18.0,0.0,0.0,-17.989122887489103,517.7832766216967,3.54709792137146,1060.62744140625,286.1365966796875,955.3739013671875,347.349609375,0.0
18,0.20500755310058594,19.0,0.0,0.0,-22.557914628422303,513.2144848807635,3.7551050186157227,1047.6011962890625,296.7135314941406,952.6596069335938,342.2273864746094,0.0
19,0.21600818634033203,20.0,0.0,0.0,-27.5293629367796,508.2430365724062,3.973863363265991,1062.74658203125,295.710205078125,953.9671020507812,336.6867370605469,0.0
20,0.20625710487365723,21.0,0.0,0.0,-16.810312983635814,518.96208652555,4.182420015335083,1022.6561889648438,307.96368408203125,946.6062622070312,354.3121643066406,0.0
21,0.20552349090576172,22.0,0.0,0.0,6.135264063702294,541.9076635728882,4.390944480895996,998.2969360351562,304.8958435058594,948.2782592773438,374.51885986328125,0.0
22,0.20600676536560059,22.0,1.0,0.0,6.135264063702294,541.9076635728882,4.597952127456665,975.0023803710938,329.3745422363281,975.4896850585938,239.29595947265625,0.0
23,0.20700693130493164,22.0,1.0,0.0,6.135264063702294,541.9076635728882,4.807960033416748,992.2793579101562,296.2039489746094,995.172119140625,212.9062957763672,0.0
24,0.20703864097595215,23.0,0.0,0.0,23.472103823125423,559.2445033323113,5.017998695373535,986.548095703125,287.7669372558594,956.2947998046875,378.937744140625,0.0
25,0.20603084564208984,24.0,0.0,0.0,47.77082313222908,583.543222641415,5.227031469345093,969.3192749023438,292.81451416015625,978.3855590820312,379.933349609375,0.0
26,0.2550075054168701,25.0,0.0,0.0,78.11047555303631,613.8828750622222,5.485039710998535,939.4954223632812,278.13397216796875,992.6925048828125,350.60357666015625,0.0
27,0.20402884483337402,26.0,0.0,108.0,0.0,644.4717002152406,5.705068588256836,885.6646728515625,269.3302307128906,979.4827270507812,309.40557861328125,1.0
28,0.19200873374938965,27.0,0.0,0.0,15.503780719411635,659.9754809346523,5.902076721191406,857.3681640625,288.2427062988281,958.9793090820312,301.8482971191406,0.0
29,0.20500683784484863,28.0,0.0,0.0,40.4622310865546,684.9339313017953,6.110084533691406,820.879638671875,302.413818359375,911.1732788085938,274.23516845703125,0.0
30,0.20376324653625488,29.0,0.0,0.0,49.83667231403804,694.3083725292787,6.316848278045654,795.3714599609375,327.4248962402344,888.4885864257812,280.5787353515625,0.0
31,0.20400714874267578,30.0,0.0,0.0,62.36669834819266,706.8383985634333,6.5258564949035645,755.181884765625,348.80517578125,843.4400024414062,276.7300109863281,0.0
32,0.20500707626342773,31.0,0.0,0.0,59.90865259980373,704.3803528150444,6.733864068984985,722.806396484375,377.281005859375,821.074951171875,303.8243713378906,0.0
