,Inference Time,Frame Counter,Skipped FC,Angle Move,Angle Data 1,Angle Data 2,Residual angle,Total Time,Meso x,Meso y,Meso accuracy,Tailbase x,Tailbase y,Tailbase accuracy,Commutation
0,0.011994600296020508,1.0,0.0,0.0,0.0,0.0,0.0,0.011994600296020508,582.1183471679688,307.18450927734375,0.9999537467956543,515.2012329101562,269.8515625,0.9999749660491943,0.0
1,0.012008905410766602,2.0,0.0,0.0,59.935342755864205,59.935342755864205,0.0,0.11465620994567871,593.5327758789062,450.1168212890625,0.9995772242546082,592.276123046875,370.79083251953125,0.9998828172683716,0.0
2,0.012016534805297852,3.0,0.0,0.0,59.70526174048497,59.70526174048497,0.0,0.2146763801574707,593.4475708007812,449.4141540527344,0.9996787309646606,591.875732421875,370.2342529296875,0.9998903274536133,0.0
3,0.012012958526611328,4.0,0.0,0.0,60.030832968245015,60.030832968245015,0.0,0.3156905174255371,594.1893920898438,449.39752197265625,0.9993565678596497,593.060791015625,369.77703857421875,0.9998090863227844,0.0
4,0.012011051177978516,5.0,0.0,0.0,59.53879583585049,59.53879583585049,0.0,0.4177243709564209,594.3907470703125,449.99346923828125,0.9993915557861328,592.5617065429688,369.6714782714844,0.9998469352722168,0.0
5,0.012000083923339844,6.0,0.0,0.0,59.04330054241097,59.04330054241097,0.0,0.5179650783538818,593.8349609375,450.5703125,0.9996180534362793,591.3026733398438,369.995361328125,0.9999024868011475,0.0
6,0.01301431655883789,7.0,0.0,0.0,58.89301107509147,58.89301107509147,0.0,0.619983434677124,594.1273803710938,450.4768371582031,0.9993681311607361,591.3900756835938,370.09295654296875,0.9999001026153564,0.0
7,0.012762308120727539,8.0,0.0,0.0,59.24378239911069,59.24378239911069,0.0,0.721696138381958,593.9425048828125,449.6756286621094,0.9965830445289612,591.7112426757812,369.7974548339844,0.999886155128479,0.0
8,0.01301431655883789,9.0,0.0,0.0,60.6227338145721,60.6227338145721,0.0,0.8227133750915527,593.1074829101562,442.8122863769531,0.9926106333732605,592.8237915039062,369.2915954589844,0.9997615218162537,0.0
9,0.012010812759399414,10.0,0.0,0.0,63.66917228469242,63.66917228469242,0.0,0.9242618083953857,588.61083984375,444.4569091796875,0.9996809959411621,592.339599609375,368.9021301269531,0.9997929930686951,0.0
10,0.013010740280151367,11.0,0.0,0.0,64.64266024746192,64.64266024746192,0.0,1.0257039070129395,586.6217041015625,444.8097229003906,0.9997795224189758,591.6563720703125,368.9834899902344,0.9998555183410645,0.0
11,0.012014150619506836,12.0,0.0,0.0,65.27383042149596,65.27383042149596,0.0,1.1257219314575195,585.7030639648438,449.31671142578125,0.9998751878738403,591.7586059570312,371.1551513671875,0.9998996257781982,0.0
12,0.012574434280395508,13.0,0.0,0.0,63.403270095792955,63.403270095792955,0.0,1.2273149490356445,587.69775390625,452.1782531738281,0.9998847246170044,591.2365112304688,373.0165710449219,0.9999300241470337,0.0
13,0.012000083923339844,14.0,0.0,0.0,59.7688041340707,59.7688041340707,0.0,1.3283226490020752,589.0247192382812,455.7306823730469,0.9992260932922363,587.51953125,375.5042419433594,0.999969482421875,0.0
14,0.011005163192749023,15.0,0.0,0.0,58.89899702564282,58.89899702564282,0.0,1.4295198917388916,590.639892578125,456.4845886230469,0.9987223744392395,587.8872680664062,375.416015625,0.9999697208404541,0.0
15,0.010999917984008789,16.0,0.0,0.0,54.478870609308125,54.478870609308125,0.0,1.5314576625823975,596.623779296875,453.31451416015625,0.9947028756141663,587.8635864257812,374.7799072265625,0.999969482421875,0.0
16,0.012010812759399414,17.0,0.0,0.0,51.93914568841452,51.93914568841452,0.0,1.6326775550842285,599.2265014648438,451.321044921875,0.9975588321685791,587.2021484375,374.5741882324219,0.9999709129333496,0.0
17,0.012011289596557617,18.0,0.0,0.0,42.341518587227156,42.341518587227156,0.0,1.734029769897461,611.7110595703125,444.2109375,0.998724639415741,587.7157592773438,372.50518798828125,0.9999674558639526,0.0
18,0.012014389038085938,19.0,0.0,0.0,39.9617231616376,39.9617231616376,0.0,1.835047721862793,614.0330200195312,437.2677307128906,0.9972909092903137,588.1133422851562,369.32672119140625,0.9999251365661621,0.0
19,0.011999845504760742,20.0,0.0,0.0,33.26156723391033,33.26156723391033,0.0,1.9367806911468506,618.6453247070312,428.6521911621094,0.9998278617858887,586.2275390625,366.5956726074219,0.9999924898147583,0.0
20,0.013000011444091797,21.0,0.0,0.0,23.305351363900012,23.305351363900012,0.0,2.0388882160186768,626.35205078125,420.4942626953125,0.9994877576828003,584.905029296875,366.5542907714844,0.9999916553497314,0.0
21,0.012988805770874023,22.0,0.0,0.0,9.405850665682117,9.405850665682117,0.0,2.1408400535583496,635.5435180664062,414.2655334472656,0.9992721676826477,582.0299682617188,371.6040954589844,0.9999130964279175,0.0
22,0.013007640838623047,23.0,0.0,0.0,8.572265123421515,8.572265123421515,0.0,2.242852210998535,637.7415161132812,413.7680358886719,0.9993709921836853,582.9620361328125,371.38580322265625,0.999914288520813,0.0
23,0.012000322341918945,24.0,0.0,0.0,4.896973481579268,4.896973481579268,0.0,2.3417413234710693,645.0108032226562,409.1751403808594,0.9999682903289795,585.040771484375,368.6435241699219,0.9999755620956421,0.0
24,0.012010812759399414,25.0,0.0,0.0,4.896973481579268,4.896973481579268,0.0,2.4437785148620605,643.4302368164062,405.61700439453125,0.9999597072601318,583.0537719726562,364.794921875,0.9999927282333374,0.0
